ID,Fecha,Informacion,Conductividad (μS/cm),Temperatura (°C),pH,x,y,Elevacion,Profundidad,Latitud,Longitud,2H,18O,comment,d-excess,Nombre,Tipo_Fuente,Localizacion_geologia,Tipo,Fuente,Mes,Temporada,P (mm),Año,UnidadGeologicaProf,UnidadGeoProf,NIDOS
N5,02/28/2023,,,,,1039556.1,1377742.7,33,,7.327322363,-73.84073223,-12.4,-2.49,,7.52,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,2,Seca,4,2023,,,Norte
,01/31/2005,,,,,1105219.55,1281939.8,996,,7.366,-73.839,-12.34,-3.34,IDEAM Bucaramanga,14.38,IDEAM Bucaramanga,Lluvia,Sur,Lluvia,GNIP,1,,,2005,Qtf,Q,
N2,04/30/2023,,,,,1039556.1,1377742.7,33,,7.349,-73.839,-11.97,-2.44,,7.55,Totalizador Jeimer,Lluvia,Norte,Lluvia,ZEMS,4,Humeda,233,2023,,,Norte
,02/15/2005,,,,,,,996,,7.367,-73.838,-11.97,-3.08,Apto Bucaramanga,12.67,Apto Bucaramanga,Lluvia,Sur,Lluvia,GNIP,2,,,2005,J3g,J,
K21,03/01/2022,,,,,,,1038,,7.166279259,-73.83692336,-10.95,-2.91,,12.33,Estación Los Canelos,Lluvia,Sur,Lluvia,Kale_lluvia,3,Humeda,,2022,,,
,02/28/2005,,,,,1112405.21,1279835.16,1803,,7.152506235,-73.8336081,-9.66,-3.47,La Galvicia,18.1,La Galvicia,Lluvia,Sur,Lluvia,GNIP,2,,,2005,NPb,,
K99,12/01/2022,,,,,,,996,,7.395504827,-73.83289719,-8.75,-3.29,,17.57,Estación de la UIS,Lluvia,Sur,Lluvia,Kale_lluvia,12,Seca,,2022,,,
K57,07/01/2022,,,,,,,78,,7.304,-73.832,-63.74,-9.28,,10.5,Predio La Belleza,Lluvia,Sur,Lluvia,Kale_lluvia,7,Humeda,,2022,,,Sur
,03/31/2005,,,,,1112405.21,1279835.16,1803,,7.393,-73.832,-6.17,-2.73,La Galvicia,15.67,La Galvicia,Lluvia,Sur,Lluvia,GNIP,3,,,2005,NPb,,
,03/31/2005,,,,,1105219.55,1281939.8,996,,7.177090452,-73.83074317,-4.88,-1.34,IDEAM Bucaramanga,5.84,IDEAM Bucaramanga,Lluvia,Sur,Lluvia,GNIP,3,,,2005,Qtf,Q,
K10,02/01/2022,,,,,,,738,,7.381,-73.827,-3.96,-2.24,,13.96,Estación Llano Grande,Lluvia,Sur,Lluvia,Kale_lluvia,2,Seca,,2022,,,
K15,02/01/2022,,,,,,,402,,7.381178806,-73.82691798,-3.47,-2.24,,14.45,Predio No hay como la mano de Dios,Lluvia,Sur,Lluvia,Kale_lluvia,2,Seca,,2022,,,
