ID,Codigo,Nombre,Zona,Mes,Ano,Elevacion,Latitud,Longitud,Tipo,Clase,Informacion,Comentarios,CE,Temperatura,pH,OD_mg/L,2H,18O,Fecha
C-001,P1,Quebrada Mangon,Chingaza,Abr,2023,,4.6145667,-73.82195,Quebrada,Superficial,Quebrada mangon,,75,12.65,7.9,,-72.7,-10.67,4/21/2023
C-002,P2,Quebrada Calostros,Chingaza,Abr,2023,,4.641095,-73.8303617,Quebrada,Superficial,Quebrada Calostros,,73,10.6,7.6,,-69.2,-10.46,4/21/2023
C-003,P3,Quebrada Pluma Araña ,Chingaza,Abr,2023,,4.64576,-73.82625,Quebrada,Superficial,Quebrada Pluma Araña,,64,10.93,8.15,,-70.51,-10.67,4/27/2023
C-004,T1,Alto de condores,Chingaza,May,2023,3449,4.5859133,-73.7296833,Lluvia,Lluvia,Totalizador Condores,Mayo,64,13,9.48,,-92.32,-13.62,4/30/2023
C-005,T3,Valle del frailejon,Chingaza,May,2023,3150,4.5349167,-73.7647,Lluvia,Lluvia,Totalizador Frailejon,Mayo,17,12.3,9.52,,-80.93,-11.95,4/30/2023
C-006,T2,Laguna Seca,Chingaza,May,2023,3639,4.6779,-73.7871833,Lluvia,Lluvia,Totalizador laguna seca,Mayo,39,10.75,9.52,,-90.12,-13.2,4/30/2023
C-025,T1,Alto de condores,Chingaza,Jun,2023,3449,4.5859133,-73.7296833,Lluvia,Lluvia,Totalizador Condores,Junio,94,15.48,9.25,4.33,-107.93,-15.19,5/31/2023
C-026,T2,Laguna seca,Chingaza,Jun,2023,3639,4.6779,-73.7871833,Lluvia,Lluvia,Totalizador laguna seca,Junio,31,12.4,9.33,3.93,-119.79,-16.48,5/31/2023
C-027,T3,Valle del frailejon,Chingaza,Jun,2023,3150,4.5349167,-73.7647,Lluvia,Lluvia,Totalizador Frailejon,Junio,32,14.3,8.2,4.01,-117.86,-16.16,5/31/2023
C-028,T1,Alto de condores,Chingaza,Jul,2023,3449,4.5859133,-73.7296833,Lluvia,Lluvia,Totalizador Condores,Julio,4,11.04,6.78,6.87,-72.21,-10.37,6/30/2023
C-029,T2,Laguna seca,Chingaza,Jul,2023,3639,4.6779,-73.7871833,Lluvia,Lluvia,Totalizador laguna seca,Julio,3,9.34,6.93,7.03,-77.98,-11.62,6/30/2023
C-030,T3,Valle del frailejon,Chingaza,Jul,2023,3150,4.5349167,-73.7647,Lluvia,Lluvia,Totalizador Frailejon,Julio,3,11.62,6.18,7.32,-68.51,-10.37,6/30/2023
C-031,T1,Alto de condores,Chingaza,Ago,2023,3449,4.5859133,-73.7296833,Lluvia,Lluvia,Totalizador Condores,Agosto,4,12.21,7.07,6.95,-47.46,-8,7/31/2023
C-032,T2,Laguna seca,Chingaza,Ago,2023,3639,4.6779,-73.7871833,Lluvia,Lluvia,Totalizador laguna seca,Agosto,4,12.58,7.15,7,-53.05,-8.86,7/31/2023
C-033,T3,Valle del frailejon,Chingaza,Ago,2023,3150,4.5349167,-73.7647,Lluvia,Lluvia,Totalizador Frailejon,Agosto,4,12.9,6.85,7.21,-49.33,-8.09,7/31/2023
C-034,T1,Alto de condores,Chingaza,Sep,2023,3449,4.5859133,-73.7296833,Lluvia,Lluvia,Totalizador Condores,Septiembre,5,11.7,7.21,7.06,-53.5,-8.84,8/31/2023
C-035,T2,Laguna seca,Chingaza,Sep,2023,3639,4.6779,-73.7871833,Lluvia,Lluvia,Totalizador laguna seca,Septiembre,4,11.26,7.3,6.97,-59.12,-9.05,8/31/2023
C-036,T3,Valle del frailejon,Chingaza,Sep,2023,3150,4.5349167,-73.7647,Lluvia,Lluvia,Totalizador Frailejon,Septiembre,6,12.94,6.86,7.45,-57.11,-8.83,8/31/2023
C-037,T1,Alto de condores,Chingaza,Oct,2023,3449,4.5859133,-73.7296833,Lluvia,Lluvia,Totalizador Condores,Octubre,6,16.65,7.05,6.89,-29.38,-5.97,9/30/2023
C-038,T2,Laguna seca,Chingaza,Oct,2023,3639,4.6779,-73.7871833,Lluvia,Lluvia,Totalizador laguna seca,Octubre,5,10.27,6.87,6.9,-37.98,-6.91,9/30/2023
C-039,T3,Valle del frailejon,Chingaza,Oct,2023,3150,4.5349167,-73.7647,Lluvia,Lluvia,Totalizador Frailejon,Octubre,4,14.44,6.72,7.21,-36.82,-6.35,9/30/2023
U-001,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Sep,2023,,4.639815,-74.080912,Pozo,Subterranea,Pozo,11:15,163.4,,6.35,,-58.3,-8.65,9/30/2023
U-002,PA02,PZ-227-IV-D-103 (140m),CAMPUS,Sep,2023,,4.639725,-74.080934,Piezometro,Subterranea,Piezometro,,135.1,,6.37,,-61.18,-9.04,9/30/2023
U-003,M2-PA25,Genetica (30m),CAMPUS,Sep,2023,,4.642766,-74.082234,Piezometro,Subterranea,Piezometro,,209,,6.61,,-63.04,-9.12,9/30/2023
U-004,M5-PA05,Hidraulica3 (7m),CAMPUS,Sep,2023,,4.638826,-74.081446,Piezometro,Subterranea,Piezometro,,283,,5.9,,-55.6,-8.17,9/30/2023
U-005,Tot,TOT Hidráulica (Lluvia),CAMPUS,Sep,2023,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,,54.2,,7.04,,-61.18,-9.08,9/30/2023
U-006,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Abr,2023,,4.639815,-74.080912,Pozo,Subterranea,Pozo,,168.1,,6.45,,-57.17,-9.07,4/29/2023
U-007,PA02,PZ-227-IV-D-103 (140m),CAMPUS,Abr,2023,,4.639725,-74.080934,Piezometro,Subterranea,Piezometro,,134.6,,6.59,,-57.28,-9.29,4/29/2023
U-008,M2-PA25,Genetica (30m),CAMPUS,Abr,2023,,4.642766,-74.082234,Piezometro,Subterranea,Piezometro,,227,,6.57,,-58.05,-8.89,4/29/2023
U-009,M5-PA05,Hidraulica3 (7m),CAMPUS,Abr,2023,,4.638826,-74.081446,Piezometro,Subterranea,Piezometro,,175.9,,5.9,,-57.68,-8.86,4/29/2023
U-010,Tot,TOT Hidráulica (Lluvia),CAMPUS,Abr,2023,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,,29.6,,6.2,,-61.71,-9.18,4/28/2023
U-011,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,Jul,2023,,4.639815,-74.080912,Pozo,Subterranea,Pozo,,158.5,,6.38,,-63.99,-9.62,7/31/2023
U-012,PA02,PZ-227-IV-D-103 (140m),CAMPUS,Jul,2023,,4.639725,-74.080934,Piezometro,Subterranea,Piezometro,,125.4,,6.44,,-62.96,-9.4,7/31/2023
U-013,M2-PA25,Genetica (30m),CAMPUS,Jul,2023,,4.642766,-74.082234,Piezometro,Subterranea,Piezometro,,231,,6.62,,-65.77,-9.54,7/31/2023
U-014,M5-PA05,Hidraulica3 (7m),CAMPUS,Jul,2023,,4.638826,-74.081446,Piezometro,Subterranea,Piezometro,,251,,6.17,,-62.01,-8.98,7/31/2023
U-015,Tot,TOT Hidráulica (Lluvia),CAMPUS,Jul,2023,,4.638585,-74.081785,Lluvia,Lluvia,Lluvia,,12.4,,6.58,,-60.34,-8.79,7/31/2023
U-016,PA01,Pozo 227-IV-D-103 (250m),CAMPUS,May,2023,,4.639815,-74.080912,Pozo,Subterranea,Pozo,,182.5,,6.42,,-58.07,-8.5,5/31/2023
U-017,PA02,PZ-227-IV-D-103 (140m),CAMPUS,May,2023,,4.639725,-74.080934,Piezometro,Subterranea,Piezometro,,134.5,,6.52,,-59.68,-9.09,5/31/2023
U-018,M2-PA25,Genetica (30m),CAMPUS,May,2023,,4.642766,-74.082234,Piezometro,Subterranea,Piezometro,,225,,6.56,,-62.2,-9.18,5/31/2023
U-019,M5-PA05,Hidraulica3 (7m),CAMPUS,May,2023,,4.638826,-74.081446,Piezometro,Subterranea,Piezometro,,223,,6.08,,-63.13,-9.49,5/31/2023
